name	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
uncultured_Acidobacteria_bacterium	0.000322326	0.002648985	0.000273136	0.001619179	0.000317256	0.000411939	5.63E-05	0.00110332	0.000161206	0.002642058	0.000538026	0.002149998	0.000534524	9.00E-05	0.001336659	0.002261992	0.002029457	0.002874159	0.002466978	0.000378147	0.000909619	8.43E-05	0.000555258	7.17E-05	6.85E-05	0.000311862	8.75E-05	7.41E-05	0.000387599	0.002002452
uncultured_Acidobacteria_bacterium_Rifle_16ft_4_minimus_38982	5.12E-07	0	0	1.10E-06	5.04E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidimicrobium_ferrooxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34E-07	0	0
Actinomarinicola_tropica	0.000147583	2.12E-05	4.33E-05	1.26E-05	0.000205965	0.000226194	2.81E-05	1.89E-05	0.000207749	0.000161412	1.98E-05	0.000211797	2.64E-05	2.60E-05	1.84E-05	0.000476437	0.000243633	1.82E-05	4.70E-05	0.000136133	1.21E-05	6.59E-06	0.000519463	4.07E-05	2.97E-05	0.000172411	4.04E-05	2.37E-05	0.00018443	2.35E-05
Aquihabitans_sp._G128	0	0	2.07E-05	5.50E-06	0	5.85E-06	3.52E-06	5.71E-06	5.50E-06	9.27E-06	7.63E-06	0	0	0	0	1.15E-05	9.02E-06	0	8.17E-06	5.60E-06	6.67E-06	0	2.92E-05	0	3.88E-06	0	0	6.01E-06	0	0
Aquihabitans_sp._Kera_3	8.20E-06	4.94E-06	0	0	8.06E-06	5.32E-06	2.93E-06	7.03E-06	1.52E-05	2.09E-05	6.10E-06	0	1.26E-06	5.52E-06	2.05E-06	1.39E-05	1.64E-05	0	1.12E-05	1.01E-05	1.54E-05	0	2.10E-05	2.76E-06	3.23E-06	0	0	4.34E-06	0	0
Iamia_sp._SCSIO_61187	3.69E-05	2.82E-05	1.29E-05	2.42E-05	3.07E-05	5.85E-05	5.86E-06	2.77E-05	7.70E-05	9.58E-05	6.10E-06	0.00011063	8.31E-06	2.99E-05	1.08E-05	0.000124037	0.000210821	4.44E-05	4.85E-05	6.44E-05	3.33E-05	4.05E-06	0.000126592	1.76E-05	5.82E-06	4.26E-05	1.53E-05	5.01E-06	7.89E-06	2.35E-05
Ilumatobacter_coccineus	0.000886524	0.000589447	0.000622302	0.000367146	0.001621531	0.001436466	0.000657408	0.000496714	0.001016741	0.000392331	0.000546261	0.001157971	0.000948951	0.000985521	0.000163944	0.001975938	0.00093926	0.000488613	0.000932458	0.001353486	0.00068086	0.000278823	0.002278653	0.001087307	0.000684638	0.001434565	0.000799634	0.00054473	0.00065093	0.000321224
Acidimicrobiia_bacterium	0	2.82E-06	4.59E-06	3.30E-06	0	3.19E-06	0	0	8.46E-06	1.47E-05	0	1.38E-05	2.52E-07	0	1.02E-06	8.65E-06	2.71E-05	0	4.60E-06	0	0	0	7.86E-06	6.89E-07	0	0	0	0	0	0
Actinomyces_gaoshouyii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_lilanjuaniae	0	0	0	0	5.04E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_naeslundii	0	9.87E-06	3.16E-06	0	0	0	0	0	0	1.08E-05	4.88E-06	0	3.27E-06	0	9.22E-06	1.39E-05	4.27E-05	6.83E-06	0	3.36E-05	6.25E-06	1.18E-06	7.42E-06	1.10E-05	0	0	0	1.30E-05	0	9.39E-06
Actinomyces_oris	0	0	3.44E-06	0	0	0	0	0	0	1.16E-05	0	0	0	0	5.12E-06	0	0	0	0	0	0	0	0	2.10E-05	0	0	0	0	0	0
Actinomyces_radicidentis	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_respiraculi	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60E-06	0	0	0	0	0	0	0	0	0	6.89E-07	0	0	0	0	0	0
Actinomyces_slackii	0	1.41E-06	0	1.65E-06	0	0	0	0	0	0	0	1.46E-06	0	0	0	0	0	0	0	0	0	0	8.73E-07	0	0	3.55E-06	0	0	0	6.71E-07
Actinomyces_sp._MAS-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-06	0	0	0	0	0	0
Actinomyces_sp._oral_taxon_169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85E-06	0	0	0	0	4.58E-06	0	3.93E-06	0	0	0	0	0	0	0
Actinomyces_sp._oral_taxon_171	0	0	0	0	0	0	0	0	4.65E-06	0	0	1.24E-05	2.27E-06	0	0	0	0	0	9.70E-06	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp._oral_taxon_414	0	1.34E-05	0	0	1.06E-05	0	0	4.84E-06	3.81E-06	3.86E-06	0	4.37E-06	1.76E-06	0	6.66E-06	0	0	0	2.04E-06	0	0	0	0	7.93E-06	0	0	4.92E-06	0	0	0
Actinomyces_sp._oral_taxon_848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37E-07	0	0	0	0	0	0	0
Actinomyces_viscosus	0	0	0	3.30E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-06	0	0	0	0	0	0
Actinomyces_weissii	0	1.41E-06	0	0	0	0	2.05E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33E-07	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	5.71E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.58E-06	1.52E-06	0	0	0	0	0	0	0	0
Changpingibacter_yushuensis	2.36E-05	9.87E-06	2.70E-05	3.57E-05	3.83E-05	4.79E-06	0	1.63E-05	5.12E-05	0	9.15E-06	2.77E-05	1.36E-05	2.47E-05	2.92E-05	6.39E-05	0	0	5.21E-05	4.26E-05	3.63E-05	2.87E-06	0.000144489	1.38E-05	0	0	5.55E-05	1.57E-05	2.71E-05	2.21E-05
Flaviflexus_ciconiae	0	0	0	0	0	0	0	0	0	0	9.15E-07	6.55E-06	0	2.01E-05	0	0	0	0	0	0	0	8.44E-07	0	0	0	0	0	0	0	0
Flaviflexus_equikiangi	0	0	0	0	0	5.32E-06	0	0	0	0	0	0	7.55E-07	0	0	1.92E-06	4.92E-06	6.26E-06	0	0	1.25E-06	0	2.62E-06	0	0	0	0	0	0	0
Flaviflexus_salsibiostraticola	0	0	0	3.30E-06	0	0	0	0	0	1.93E-05	6.41E-06	0	0	0	0	0	0	0	4.60E-06	0	0	0	6.55E-06	0	0	0	0	0	1.87E-05	0
Mobiluncus_curtisii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10E-06	0	0	0	0	0	0	0	0	0	3.28E-06	0	0	0
Pauljensenia_hongkongensis	0	0	6.89E-06	4.40E-06	0	0	0	0	0	0	0	0	0	0	0	6.25E-06	1.39E-05	0	0	3.75E-05	0	0	0	0	7.18E-05	0	0	0	0	0
Schaalia_cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33E-07	0	0	0	0	0	0	0	0	0
Schaalia_odontolytica	0	7.76E-06	0	4.95E-06	0	0	9.09E-06	0	0	1.54E-05	6.10E-06	0	5.29E-06	0	1.38E-05	1.49E-05	0	0	1.23E-05	0	1.00E-05	1.69E-06	1.27E-05	0	0	1.52E-05	0	2.04E-05	6.41E-06	4.02E-06
Schaalia_sp._19OD2882	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaalia_sp._JY-X169	4.61E-06	3.17E-05	8.32E-06	2.75E-05	1.01E-05	5.32E-06	8.80E-07	1.10E-05	1.90E-05	1.24E-05	1.10E-05	1.53E-05	1.89E-05	3.31E-05	3.23E-05	4.42E-05	1.48E-05	2.11E-05	8.68E-06	1.01E-05	1.21E-05	4.22E-06	3.58E-05	8.27E-06	2.91E-06	6.09E-06	1.69E-05	7.68E-06	4.44E-06	2.15E-05
Schaalia_turicensis	0	0	0	0	0	0	0	0	0	0	0	8.01E-06	1.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trueperella_pecoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33E-06	0	0	2.04E-06	0	0	0	0	0	0	0	0	0	0	1.34E-06
Actinomycetaceae_bacterium_zg-1166	0	0	2.87E-07	0	0	0	1.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_actinocoloniiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.69E-07	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_adolescentis	4.82E-05	0.000164989	1.15E-05	0.000378688	8.71E-05	0.000103783	5.86E-06	0.000115607	6.05E-05	0.001278166	1.46E-05	0.000109902	5.16E-05	2.05E-05	0.000445212	0.00183267	0.000707111	5.41E-05	5.52E-05	4.09E-05	7.83E-05	3.24E-05	0.000180721	2.52E-05	5.01E-05	2.94E-05	3.03E-05	8.48E-05	9.76E-05	3.15E-05
Bifidobacterium_angulatum	0	0	0	0	0	0	0	6.59E-06	0	0	0	0	0	0	0	7.69E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_animalis	0	0	1.15E-06	0	0	0	0	0	2.54E-06	0	4.58E-06	2.18E-06	1.26E-06	0	1.02E-06	3.37E-06	8.20E-07	1.71E-06	3.57E-06	2.80E-06	2.08E-06	3.38E-07	2.62E-06	0	0	0	0	0	0	4.69E-06
Bifidobacterium_bifidum	0	2.82E-06	0	0	0	6.39E-06	0	0	1.69E-06	0	1.22E-06	0	0	4.55E-06	0.000205443	0.00013846	4.92E-06	2.85E-06	0	0	0	0	1.92E-05	0	4.20E-06	0	0	2.00E-06	9.86E-06	2.68E-06
Bifidobacterium_breve	0	0	1.69E-05	0	0	1.65E-05	0	9.23E-06	0	1.00E-05	0	9.46E-06	1.76E-06	5.36E-05	0	4.33E-06	0	7.40E-06	1.23E-05	2.07E-05	0	0	1.27E-05	0	0	2.59E-05	1.20E-05	4.01E-06	0	1.27E-05
Bifidobacterium_catenulatum	3.59E-06	0	0	0	0	0	0	0	0	0	0	0	1.01E-06	9.75E-07	4.10E-06	1.01E-05	1.39E-05	0	1.53E-06	0	0	0	0	3.10E-06	0	0	0	0	0	0
Bifidobacterium_choerinum	0	0	0	7.15E-06	0	0	0	0	0	0	0	2.26E-05	0	0	1.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_dentium	0	0	0	5.50E-06	2.52E-06	0	0	0	0	0	0	5.82E-06	5.04E-07	1.62E-06	5.12E-07	0	8.20E-06	0	1.53E-06	6.16E-06	0	0	0	0	0	0	0	1.34E-06	4.44E-06	2.68E-06
Bifidobacterium_eulemuris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_longum	0.00052679	4.44E-05	2.96E-05	6.21E-05	5.44E-05	4.47E-05	4.40E-06	2.15E-05	6.09E-05	0.000463383	1.19E-05	4.88E-05	3.70E-05	4.19E-05	0.000390393	0.000342784	0.000139453	8.03E-05	6.84E-05	4.03E-05	3.08E-05	5.57E-06	9.87E-05	2.93E-05	1.81E-05	3.19E-05	2.62E-05	2.97E-05	7.00E-05	8.32E-05
Bifidobacterium_pseudocatenulatum	0.00013426	7.26E-05	7.17E-06	6.43E-05	2.87E-05	2.34E-05	1.52E-05	0	8.89E-06	0.00022783	2.14E-06	2.40E-05	6.04E-06	8.45E-06	0.000304834	0.000418745	0.000199336	2.22E-05	8.68E-06	0	2.50E-06	1.52E-06	4.80E-06	7.93E-06	1.13E-05	2.64E-05	1.50E-05	0	1.28E-05	2.15E-05
Bifidobacterium_pseudolongum	0	3.53E-06	0	0	0	0	0	0	0	0	0	4.29E-05	0	0	0	0	4.92E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_pullorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54E-06	0	0	0	0	0	0	0	4.37E-07	0	0	0	0	0	0	0
Bifidobacterium_subtile	0	0	5.74E-07	1.10E-06	0	0	0	8.79E-07	4.23E-06	0	0	0	2.52E-07	1.95E-06	1.02E-06	4.81E-07	2.46E-06	3.99E-06	4.09E-06	0	1.67E-06	8.44E-07	5.24E-06	1.38E-06	0	5.07E-06	0	0	0	6.71E-07
Bifidobacterium_thermophilum	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-06	0	1.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.34E-06	0	0
Gardnerella_vaginalis	2.05E-06	0	0	0	0	0	0	5.27E-06	0	0	0	0	0	0	0	0	4.92E-06	0	0	1.12E-05	0	0	0	0	0	0	0	0	0	0
Candidatus_Actinomarina_minuta	0	0	5.74E-07	5.50E-07	0	0	2.93E-07	4.40E-07	4.23E-07	0	0	7.28E-07	5.04E-07	3.25E-07	1.02E-06	0	0	0	0	0	4.17E-07	1.69E-07	0	0	0	0	0	0	0	0
Candidatus_Nanopelagicus_abundans	0	0	0	0	0	0	0	0	0	0	0	2.18E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Planktophila_vernalis	0.000251096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000182635	0	0	0	0	0
Catenulispora_acidiphila	0	0	0	0	0	0	0	0	0	5.41E-06	0	3.64E-06	2.52E-07	0	0	0	9.02E-06	0	0	0	8.33E-07	0	0	0	0	0	0	0	0	6.71E-07
Corynebacterium_amycolatum	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_aquatimens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53E-06	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_aurimucosum	0	0	0	0	0	0	0	0	8.46E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_bovis	0	0	0	5.50E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_callunae	0	0	0	0	0	0	0	1.76E-06	0	0	0	1.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_casei	0	0	0	2.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29E-05	0	0	0	0	0	0	0	0	0
Corynebacterium_comes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.69E-07	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_coyleae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07E-06	0	0	0	0	0	0
Corynebacterium_crudilactis	0	0	0	5.50E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75E-06	0	0	0	0	0	0	0
Corynebacterium_deserti	7.17E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40E-06	0	0	0	0	0	0	0	4.14E-06	0	0	0	0	0	0
Corynebacterium_doosanense	0	0	0	9.89E-06	0	0	0	0	0	0	0	0	0	0	0	6.73E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_efficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_falsenii	0	0	1.35E-05	1.76E-05	0	0	0	0	2.24E-05	0	0	0	3.02E-06	2.89E-05	0	8.17E-06	0	6.83E-06	0	0	5.00E-06	0	0	0	0	0	0	0	0	1.01E-05
Corynebacterium_flavescens	0	0	3.16E-06	1.10E-06	0	0	0	0	8.04E-06	0	0	0	5.04E-07	1.01E-05	0	2.88E-06	0	0	0	0	3.75E-06	3.38E-07	1.75E-06	2.07E-06	0	0	0	0	0	1.34E-06
Corynebacterium_freneyi	0	0	5.74E-07	0	0	0	0	0	8.46E-07	0	0	0	2.27E-06	4.22E-06	1.02E-06	9.62E-07	0	5.69E-07	1.02E-06	0	1.67E-06	0	0	2.41E-06	0	2.54E-06	0	0	0	0
Corynebacterium_glucuronolyticum	3.07E-06	0	5.74E-07	0	0	1.06E-06	0	8.79E-07	0	0	0	0	0	0	0	0	5.74E-06	0	8.17E-06	0	0	3.38E-07	0	0	0	0	0	0	0	6.04E-06
Corynebacterium_glutamicum	0	0	0	9.34E-06	0	0	0	1.01E-05	0	0	0	0	0	0	0	0	0	6.83E-06	0	0	0	0	0	0	0	0	0	0	0	1.01E-05
Corynebacterium_glyciniphilum	0	0	0	1.10E-06	0	0	8.80E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_humireducens	0	0	0	5.50E-07	0	0	0	0	0	0	6.10E-07	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_jeikeium	0	0	0	0	6.24E-05	0	0	0	0	0	0	4.44E-05	0	0	0	4.62E-05	0	0	3.32E-05	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_kefirresidentii	0	1.41E-05	0	3.30E-06	0	3.73E-06	0	1.05E-05	0	8.50E-06	3.05E-06	1.82E-05	0	0	5.38E-05	1.83E-05	6.32E-05	3.99E-06	8.68E-06	0	0	2.03E-06	0	1.72E-05	3.23E-05	2.08E-05	0	0	0	0
Corynebacterium_kroppenstedtii	0	7.05E-07	0	0	0	0	0	4.40E-07	0	0	0	0	0	0	5.12E-07	0	0	5.69E-07	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_macginleyi	0	0	0	0	0	5.32E-07	0	0	0	0	0	0	0	0	1.02E-06	0	0	0	0	0	1.25E-06	0	0	0	0	1.52E-06	0	0	0	0
Corynebacterium_marinum	0	0	0	1.10E-06	0	2.66E-06	0	3.08E-06	2.12E-06	0	9.15E-07	0	0	0	2.05E-06	9.62E-07	2.46E-06	0	0	0	0	3.38E-07	0	0	2.91E-06	0	0	0	0	0
Corynebacterium_maris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34E-07	0	0
Corynebacterium_matruchotii	0	0	0	0	0	0	0	0	0	3.86E-06	3.05E-07	1.46E-06	0	0	5.12E-07	0	4.92E-06	1.14E-06	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_minutissimum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-06	0	0	0	0	0	0	0
Corynebacterium_mycetoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40E-06	0	0	0	0	0	5.07E-07	0	0	0	0	0	0	0	0
Corynebacterium_nuruki	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75E-07	0	0	8.20E-07	0	0	0	0	0	0	0	9.70E-07	0	0	0	0	0
Corynebacterium_occultum	0	0	0	0	0	0	0	0	0	0	3.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_propinquum	0	0	2.01E-06	1.10E-06	0	0	0	1.76E-06	2.12E-06	2.32E-06	0	0	5.04E-07	0	4.10E-06	0	4.92E-06	1.14E-06	3.57E-06	4.48E-06	0	1.69E-07	0	0	0	0	0	0	0	0
Corynebacterium_provencense	0	0	0	0	0	5.32E-07	8.80E-07	0	1.69E-06	7.72E-07	9.15E-07	0	0	0	0	0	0	0	3.06E-06	0	0	0	0	0	6.46E-07	0	0	0	0	0
Corynebacterium_qintianiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_resistens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36E-06	0	0	0	0	0	0	0	0
Corynebacterium_riegelii	0	0	0	1.10E-06	0	0	0	0	0	0	0	0	7.55E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_sanguinis	3.23E-05	3.81E-05	8.89E-06	7.69E-06	0	3.73E-06	0	0	0	3.78E-05	0	5.97E-05	6.55E-06	0	8.20E-05	1.54E-05	0	9.11E-06	0	0	0	3.38E-06	1.35E-05	0	0	0	0	0	1.92E-05	3.35E-06
Corynebacterium_segmentosum	0	0	0	0	0	5.32E-07	0	0	1.69E-06	0	0	1.60E-05	0	0	6.66E-06	9.62E-07	5.74E-06	0	5.11E-07	0	0	1.69E-07	0	0	0	0	0	0	0	4.02E-06
Corynebacterium_singulare	0	0	0	0	0	0	0	1.76E-06	0	9.27E-06	0	0	1.01E-06	0	0	9.09E-05	0	0	4.60E-06	0	0	0	6.55E-06	0	0	0	0	9.68E-06	0	0
Corynebacterium_sp._NML98-0116	0	0	0	0	0	0	0	0	0	0	0	5.09E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64E-06	0	0	0
Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30E-06	5.12E-07	0	0	0	0	0	0	0	0	6.89E-07	0	0	0	0	0	0
Corynebacterium_striatum	0	0	0	4.40E-06	8.91E-05	0	0	0	0	0	0	1.09E-05	0	0	0	5.77E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_terpenotabidum	1.02E-06	0	2.87E-07	1.10E-06	4.03E-06	0	0	2.64E-06	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	1.69E-07	0	0	0	0	0	0	0	0
Corynebacterium_testudinoris	0	2.82E-06	0	0	0	0	0	0	1.69E-06	1.54E-06	0	0	2.52E-07	0	0	1.92E-06	0	0	0	3.36E-06	0	0	0	0	4.20E-06	0	0	0	0	0
Corynebacterium_tuberculostearicum	2.05E-05	1.83E-05	3.44E-06	5.11E-05	3.32E-05	0	0	4.84E-06	0.000102393	0.000382291	8.24E-06	0.000197241	7.81E-06	4.32E-05	7.58E-05	0.000674511	0.000324024	3.87E-05	7.61E-05	0.000329968	0	4.56E-05	0	0.000181333	2.30E-05	0.000237319	0	0	0	5.70E-05
Corynebacterium_urealyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13E-06	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ureicelerivorans	0	0	1.43E-06	0	0	0	0	0	0	0	0	0	0	0	1.54E-06	0	5.74E-06	0	0	0	0	0	0	4.14E-06	0	9.63E-06	0	0	0	0
Corynebacterium_variabile	0	0	0	3.13E-05	0	0	2.52E-05	6.59E-06	2.37E-05	1.62E-05	0	3.35E-05	6.80E-06	0	2.36E-05	1.73E-05	1.89E-05	7.40E-06	2.40E-05	0	1.13E-05	0	5.89E-05	0	0	0	0	0	3.35E-05	2.68E-05
Corynebacterium_vitaeruminis	0	0	0	1.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75E-06	0	0	0	0	0	0	0
Corynebacterium_wankanglinii	0	0	0	0	0	0	0	0	1.69E-06	0	2.75E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35E-06
