GeneFamily	Description
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00140	"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151	"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00161	"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
K00162	"PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
K00166	"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]"
K00167	"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]"
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
K00175	"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
K00176	"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
K00177	"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
K00179	"iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"
K00180	"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"
K00184	"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"
K00185	"K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit"
K00197	"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]"
K00198	"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
K00206	phnY; phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
K00219	"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
K00220	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
K00228	"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
K00241	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
K00242	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
K00243	K00243; uncharacterized protein
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246	frdC; fumarate reductase subunit C
K00247	frdD; fumarate reductase subunit D
K00248	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
K00249	"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"
K00252	"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
K00253	"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
K00254	"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
K00255	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00257	"mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]"
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
K00261	"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00274	"MAO, aofH; monoamine oxidase [EC:1.4.3.4]"
K00275	"pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]"
K00276	"AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]"
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]
K00281	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
K00290	"LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"
K00292	
K00293	"LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00297	"metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
K00299	ssuE; FMN reductase [EC:1.5.1.38]
K00302	"soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]"
K00303	"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]"
K00304	"soxD; sarcosine oxidase, subunit delta [EC:1.5.3.1]"
K00305	"soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]"
K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00315	DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K00317	dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
K00318	"PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]"
K00320	"mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"
K00322	"sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]"
K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
K00325	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
K00329	E7.1.1.2; NADH dehydrogenase [EC:7.1.1.2]
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
K00344	"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
K00346	nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
K00349	nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
K00350	nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
K00351	nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]
K00356	E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]
K00359	qorA; NADPH:quinone reductase [EC:1.6.5.5]
K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
K00364	"E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]"
K00367	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
K00373	"narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW"
K00374	"narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase
K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
K00383	"GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]"
K00384	"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
K00389	yidH; putative membrane protein
K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K00392	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00394	"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
K00395	"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]
K00405	ccoO; cytochrome c oxidase cbb3-type subunit II
K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
K00407	ccoQ; cytochrome c oxidase cbb3-type subunit IV
K00411	"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
K00412	"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
K00423	E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
K00424	cydX; cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]
K00425	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
K00426	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
K00427	"lldP, lctP; L-lactate permease"
K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K00432	gpx; glutathione peroxidase [EC:1.11.1.9]
K00436	hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]
K00441	frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
K00446	"dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]"
K00448	"pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"
K00449	"pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"
K00451	"HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
K00452	"HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"
K00453	"TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]"
K00455	"hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]"
K00457	"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
K00459	"ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]"
K00469	MIOX; inositol oxygenase [EC:1.13.99.1]
K00471	E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
K00477	PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
K00479	gbcA; glycine betaine catabolism A
K00480	E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]
K00481	pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]
K00483	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K00486	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
K00493	E1.14.14.1; unspecific monooxygenase [EC:1.14.14.1]
K00496	"alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]"
K00499	CMO; choline monooxygenase [EC:1.14.15.7]
K00500	"phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]"
K00505	TYR; tyrosinase [EC:1.14.18.1]
K00507	"SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]"
K00508	E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]
K00517	CYP81F; indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]
K00518	sodN; nickel superoxide dismutase [EC:1.15.1.1]
K00520	merA; mercuric reductase [EC:1.16.1.1]
K00523	"ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"
K00525	"E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
K00526	"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
K00537	"arsC1, arsC; arsenate reductase (glutaredoxin) [EC:1.20.4.1]"
K00540	fqr; F420H(2)-dependent quinone reductase [EC:1.1.98.-]
K00547	"mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]"
K00548	"metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00554	trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
K00556	trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
K00557	trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
K00560	"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
K00561	"ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]"
K00563	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
K00566	"mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
K00567	"ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]"
K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K00569	"TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]"
K00570	pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
K00571	E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00573	"E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"
K00574	cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]
K00595	"cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]"
K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
K00604	"MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]"
K00605	"gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"
K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K00609	"pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
K00610	pyrI; aspartate carbamoyltransferase regulatory subunit
K00611	"OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]"
K00613	GATM; glycine amidinotransferase [EC:2.1.4.1]
K00615	"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
K00616	"E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]"
K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
K00625	"E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"
K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
K00627	"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00632	"fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"
K00633	lacA; galactoside O-acetyltransferase [EC:2.3.1.18]
K00635	"tgs, wax-dgat; diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]"
K00638	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
K00639	"kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]"
K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]
K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
K00643	"E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]"
K00645	"fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K00651	metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]
